Test No.,1,2,3,4,5,6,7,8,9
Back Pressure (psig),0,30,40,50,60,65,70,75,80
Inlet Temp. (degC),23.8,23.5,23.5,23.2,23.2,23.1,23.1,23.2,23.5
Outlet Temp. (degC),24.2,24,24,23.95,23.9,23.9,23.8,23.8,23.8
Orifice deltaP (inH2O),3.05,3.02,3,2.98,3.02,2.94,2.52,1.86,1
Barometric Pressure(inHg),29.24,29.24,29.24,29.24,29.24,29.24,29.24,29.24,29.24
