"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
12, 4.193586807377032e-01, 4.676092369638785e-02, 7.296770213671239e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.279672648499229e+03, 2.111869059399691e+03, 1.686145469446894e+03, 0.000000000000000e+00, -3.243153740995751e-02, 0.000000000000000e+00, 0.000000000000000e+00, 8.336887182878912e-07, 2.397447764921043e-02, 1.341166160010095e-02, -0.000000000000000e+00, 0.000000000000000e+00
13, 4.198763957175955e-01, 4.703793801800995e-02, 7.263916264063790e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.254382508019363e+03, 2.101753003207744e+03, 1.685658403053549e+03, 0.000000000000000e+00, -1.083094620090391e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.335429057087343e-07, 2.360502594611852e-02, 1.208480573034049e-02, -0.000000000000000e+00, 0.000000000000000e+00
14, 4.204379085703951e-01, 4.731344410990607e-02, 7.232268714667169e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.230057680356829e+03, 2.092023072142732e+03, 1.685196848560882e+03, 0.000000000000000e+00, -1.812911617640319e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.334047092027088e-07, 2.285451982746155e-02, 1.074604381890341e-02, -0.000000000000000e+00, 0.000000000000000e+00
15, 4.210426854249538e-01, 4.758631971210922e-02, 7.205404230764727e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.209758280925692e+03, 2.083903312370276e+03, 1.684914769160724e+03, 0.000000000000000e+00, -2.421953825479668e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.333202400407647e-07, 2.201179475507736e-02, 9.526498852750599e-03, -0.000000000000000e+00, 0.000000000000000e+00
16, 4.216901236948010e-01, 4.785539110145240e-02, 7.181253751463208e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.191497211753535e+03, 2.076598884701414e+03, 1.684655351475898e+03, 0.000000000000000e+00, -2.969840078166371e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.332425500982161e-07, 2.148977055830046e-02, 8.569764087885628e-03, -0.000000000000000e+00, 0.000000000000000e+00
17, 4.223795514172626e-01, 4.811943969773783e-02, 7.156842346782163e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.172711997562194e+03, 2.069084799024877e+03, 1.684284926321625e+03, 0.000000000000000e+00, -3.533452236478778e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.331316044241279e-07, 2.108365056403839e-02, 7.747202216908813e-03, -0.000000000000000e+00, 0.000000000000000e+00
18, 4.231102267456488e-01, 4.837720896550544e-02, 7.133643663849387e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.154801177334693e+03, 2.061920470933877e+03, 1.683911336948746e+03, 0.000000000000000e+00, -4.070829981696085e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.330196974357905e-07, 2.052668176796799e-02, 6.943050204452023e-03, -0.000000000000000e+00, 0.000000000000000e+00
19, 4.238813376266106e-01, 4.862741157384148e-02, 7.112649951787344e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.138630204640739e+03, 2.055452081856296e+03, 1.683583433173881e+03, 0.000000000000000e+00, -4.556007139071863e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.329214640991826e-07, 1.986940537428689e-02, 6.174307735669939e-03, -0.000000000000000e+00, 0.000000000000000e+00
20, 4.246920016943005e-01, 4.886873677509895e-02, 7.093370162414306e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.123849295523334e+03, 2.049539718209333e+03, 1.683303543075398e+03, 0.000000000000000e+00, -4.999478265066311e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.328376063584160e-07, 1.920386574840610e-02, 5.465774850852661e-03, -0.000000000000000e+00, 0.000000000000000e+00
21, 4.255412664120224e-01, 4.909985796189559e-02, 7.075599546823570e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.110308024799133e+03, 2.044123209919653e+03, 1.683071423838202e+03, 0.000000000000000e+00, -5.405756561465886e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.327680554017489e-07, 1.859606762078022e-02, 4.827646281700839e-03, -0.000000000000000e+00, 0.000000000000000e+00
