"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
208, 6.684564410850005e-01, 1.334730274053779e-01, 7.352288375633158e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.408766584479775e+03, 2.163506633791909e+03, 1.714329982325403e+03, 0.000000000000000e+00, 3.548885705320410e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.420871436259196e-07, 2.165891386591502e-03, 1.472159483355163e-03, -0.000000000000000e+00, 0.000000000000000e+00
209, 6.688852295683901e-01, 1.337499282668740e-01, 7.312562584999860e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.384822548584862e+03, 2.153929019433944e+03, 1.716012763597745e+03, 0.000000000000000e+00, 2.830493590544178e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.425861669176638e-07, 2.007733848195369e-03, 1.233602519713402e-03, -0.000000000000000e+00, 0.000000000000000e+00
210, 6.693586807377031e-01, 1.340273862961043e-01, 7.247472765081507e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.341387380201729e+03, 2.136554952080691e+03, 1.717458286208375e+03, 0.000000000000000e+00, 1.527309674208358e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.430146169652036e-07, 2.068819945467543e-03, 1.157327113696791e-03, -0.000000000000000e+00, 0.000000000000000e+00
211, 6.698763957175955e-01, 1.343044006177264e-01, 7.213728484362124e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.319345970111642e+03, 2.127738388044656e+03, 1.718371889083855e+03, 0.000000000000000e+00, 8.660019783478064e-02, 0.000000000000000e+00, 0.000000000000000e+00, 8.432853047228022e-07, 1.971011416561291e-03, 1.009077054852406e-03, -0.000000000000000e+00, 0.000000000000000e+00
212, 6.704379085703952e-01, 1.345799067096226e-01, 7.194078801331743e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.306787760179703e+03, 2.122715104071880e+03, 1.718997487296570e+03, 0.000000000000000e+00, 4.892184222921389e-02, 0.000000000000000e+00, 0.000000000000000e+00, 8.434706150489957e-07, 2.010812559979446e-03, 9.454707447045146e-04, -0.000000000000000e+00, 0.000000000000000e+00
213, 6.710426854249539e-01, 1.348527823118257e-01, 7.165433267756751e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.287549221839158e+03, 2.115019688735663e+03, 1.719612847751849e+03, 0.000000000000000e+00, -8.799480543288206e-03, 0.000000000000000e+00, 0.000000000000000e+00, 8.436528566182691e-07, 1.982611033294215e-03, 8.580555081620678e-04, -0.000000000000000e+00, 0.000000000000000e+00
214, 6.716901236948010e-01, 1.351218537011689e-01, 7.128789178291431e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.261877283298646e+03, 2.104750913319458e+03, 1.720060242262520e+03, 0.000000000000000e+00, -8.582291259737296e-02, 0.000000000000000e+00, 0.000000000000000e+00, 8.437853318433581e-07, 1.905776560654124e-03, 7.599920848258209e-04, -0.000000000000000e+00, 0.000000000000000e+00
215, 6.723795514172627e-01, 1.353859022974543e-01, 7.090507866956896e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.234659417875312e+03, 2.093863767150125e+03, 1.720401454109139e+03, 0.000000000000000e+00, -1.674845839504300e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.438863532318264e-07, 1.857160281678636e-03, 6.824148506765024e-04, -0.000000000000000e+00, 0.000000000000000e+00
216, 6.731102267456488e-01, 1.356436715652219e-01, 7.079260309203356e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.226946199282791e+03, 2.090778479713116e+03, 1.720595812938326e+03, 0.000000000000000e+00, -1.906265281102717e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.439438914367396e-07, 1.763124191799352e-03, 5.963681767332379e-04, -0.000000000000000e+00, 0.000000000000000e+00
217, 6.738813376266107e-01, 1.358938741735579e-01, 7.056931432111847e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.211525772843616e+03, 2.084610309137446e+03, 1.720947833300120e+03, 0.000000000000000e+00, -2.368923824090561e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.440480948338929e-07, 1.620688840687555e-03, 5.036200861410667e-04, -0.000000000000000e+00, 0.000000000000000e+00
218, 6.746920016943005e-01, 1.361351993748154e-01, 7.026804063180957e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.190643358309479e+03, 2.076257343323791e+03, 1.721401036339422e+03, 0.000000000000000e+00, -2.995458214727665e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.441822325788799e-07, 1.574411751174372e-03, 4.481066607732528e-04, -0.000000000000000e+00, 0.000000000000000e+00
219, 6.755412664120225e-01, 1.363663205616121e-01, 7.005559713862942e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.176350183353791e+03, 2.070540073341516e+03, 1.721866685327845e+03, 0.000000000000000e+00, -3.424295868845318e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.443200338020280e-07, 1.536575255246896e-03, 3.989037880921820e-04, -0.000000000000000e+00, 0.000000000000000e+00
220, 6.764281094906236e-01, 1.365859029600285e-01, 6.987078778441749e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.163572707291344e+03, 2.065429082916537e+03, 1.722159494814478e+03, 0.000000000000000e+00, -3.807658059341942e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.444066754927319e-07, 1.472633703734229e-03, 3.468012229335775e-04, -0.000000000000000e+00, 0.000000000000000e+00
221, 6.773514396109306e-01, 1.367926114155502e-01, 6.967119429212976e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.149934515554607e+03, 2.059973806221842e+03, 1.722531470814348e+03, 0.000000000000000e+00, -4.216844273665971e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.445167306940694e-07, 1.378219038299519e-03, 2.923536631777207e-04, -0.000000000000000e+00, 0.000000000000000e+00
222, 6.783100974750701e-01, 1.369851182269923e-01, 6.956454199520187e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.142774337790575e+03, 2.057109735116229e+03, 1.722773773462551e+03, 0.000000000000000e+00, -4.431670849630521e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.445884128737251e-07, 1.278405272772636e-03, 2.420651505735285e-04, -0.000000000000000e+00, 0.000000000000000e+00
