"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,          78,      -5.954399463,      -2.379058249,      -2.706936686,       1.149220834
          0,           0,          79,      -5.967676989,      -2.373947212,      -2.715760204,       1.135199173
          0,           0,          80,      -6.015012652,      -2.398382269,      -2.748280929,       1.081538722
          0,           0,          81,      -6.038137888,      -2.401985521,      -2.760303988,       1.055075123
          0,           0,          82,      -6.035033034,      -2.383121027,      -2.752550816,       1.057022996
          0,           0,          83,      -6.077544556,      -2.400618643,      -2.774118546,       1.007985302
          0,           0,          84,      -6.093505857,      -2.397144795,      -2.777373344,      0.9871943137
          0,           0,          85,      -6.077977391,       -2.37184167,      -2.762002749,      0.9984722839
          0,           0,          86,      -6.116088941,      -2.388104904,      -2.781267293,      0.9527348569
          0,           0,          87,      -6.117841129,      -2.383338607,      -2.782557224,       0.945548471
          0,           0,          88,      -6.151951076,      -2.408064799,      -2.806999689,      0.9022860676
          0,           0,          89,       -6.15431539,      -2.413879545,      -2.816042516,       0.895869221
          0,           0,          90,      -6.119757848,      -2.400548892,      -2.809462953,      0.9348418866
          0,           0,          91,      -6.137383789,      -2.420593524,      -2.829903025,      0.9131951432
          0,           0,          92,      -6.122870288,      -2.422248582,      -2.834878009,      0.9315826838
          0,           0,          93,      -6.073447342,      -2.405978428,      -2.822634228,      0.9932042225
          0,           0,          94,      -6.088279143,      -2.425049278,      -2.840854273,       0.977044577
          0,           0,          95,      -6.071799933,      -2.426071511,       -2.84103815,      0.9996474079
          0,           0,          96,      -6.059295523,      -2.428766422,       -2.84054919,       1.017400708
          0,           0,          97,      -6.015953168,      -2.414007022,      -2.817446374,       1.071591117
          0,           0,          98,      -6.037470491,      -2.433534006,       -2.83141786,       1.048546395
          0,           0,          99,      -6.029791005,      -2.434821367,      -2.823208811,       1.060502822
          0,           0,         100,      -6.061774974,       -2.45947842,      -2.841364003,       1.024073047
          0,           0,         101,      -6.069491625,      -2.467322131,      -2.840435051,       1.017633727
          0,           0,         102,      -6.049651392,      -2.458150384,      -2.819790567,       1.043965942
          0,           0,         103,       -6.07724832,      -2.476088597,      -2.832613127,       1.013220957
          0,           0,         104,      -6.078987935,      -2.477478349,      -2.827533877,       1.013402618
          0,           0,         105,       -6.04969811,      -2.461586861,      -2.804005151,       1.048311121
          0,           0,         106,      -6.075664825,      -2.476587279,      -2.818998229,       1.019501126
          0,           0,         107,       -6.07226348,      -2.474319665,      -2.815768829,       1.024288112
          0,           0,         108,      -6.070443654,      -2.472753595,      -2.815120883,       1.026998941
          0,           0,         109,      -6.070203584,      -2.471663098,       -2.81635148,       1.027819413
          0,           0,         110,      -6.039535133,       -2.45303991,      -2.799681041,       1.061490196
          0,           0,         111,      -6.070864878,      -2.467862611,      -2.819848435,       1.027561929
          0,           0,         112,      -6.072706081,      -2.463992761,      -2.819540794,       1.026474436
          0,           0,         113,      -6.114516482,      -2.484168189,      -2.842631565,      0.9802024397
          0,           0,         114,      -6.131987467,      -2.487648354,      -2.847549715,      0.9620701281
          0,           0,         115,      -6.123193709,      -2.473370022,      -2.833958742,      0.9733530536
          0,           0,         116,      -6.163145542,       -2.48807316,       -2.84943865,      0.9300281336
          0,           0,         117,      -6.178515703,      -2.485978238,      -2.847595635,       0.914102645
          0,           0,         118,      -6.166599652,      -2.465579898,      -2.827732972,      0.9258288529
          0,           0,         119,      -6.209230411,      -2.478679784,      -2.842754194,      0.8794555319
          0,           0,         120,      -6.222422146,      -2.474062375,      -2.840462616,      0.8627168741
          0,           0,         121,      -6.270058456,      -2.493492109,      -2.861276836,      0.8090611405
          0,           0,         122,       -6.28938881,       -2.49717219,      -2.867250894,      0.7846536283
          0,           0,         123,      -6.272646636,      -2.484198392,      -2.859070351,      0.7971494535
          0,           0,         124,      -6.303741623,      -2.499475303,      -2.877032537,      0.7602521424
          0,           0,         125,      -6.299091195,      -2.499048304,      -2.881011536,      0.7613298305
          0,           0,         126,      -6.250808506,      -2.481897553,      -2.870947261,      0.8088997045
          0,           0,         127,      -6.269938604,      -2.496352378,      -2.888402804,      0.7864697086
          0,           0,         128,      -6.249043828,      -2.494459464,      -2.890712678,      0.8074740694
          0,           0,         129,      -6.275344436,      -2.514631435,      -2.910374186,      0.7766644377
          0,           0,         130,      -6.268973776,      -2.520197668,      -2.916246773,      0.7827339186
          0,           0,         131,      -6.225334633,      -2.510611981,      -2.907796707,      0.8304786369
          0,           0,         132,      -6.243202616,      -2.526455671,      -2.920131693,      0.8095054113
          0,           0,         133,       -6.22713784,      -2.527882683,       -2.91865207,      0.8267587452
          0,           0,         134,      -6.172080574,      -2.514225979,      -2.901752349,      0.8863145194
          0,           0,         135,      -6.188011011,      -2.528774471,      -2.911170255,      0.8676683584
          0,           0,         136,      -6.167211271,      -2.528528089,      -2.905704953,      0.8895611252
          0,           0,         137,      -6.148673359,      -2.529470164,      -2.901111476,      0.9088770049
          0,           0,         138,      -6.089255303,      -2.515333074,      -2.879605826,      0.9723695415
          0,           0,         139,      -6.104526631,      -2.530866977,      -2.891687716,      0.9547876039
          0,           0,         140,      -6.082410834,      -2.531446188,      -2.886792493,      0.9785802939
          0,           0,         141,      -6.108013973,      -2.552226706,      -2.904970011,      0.9488958426
          0,           0,         142,      -6.103120027,      -2.559557906,      -2.907811711,       0.954075569
          0,           0,         143,      -6.064657738,      -2.553783642,      -2.895030033,      0.9975050067
          0,           0,         144,      -6.083255158,      -2.570136566,      -2.909621737,      0.9761206992
          0,           0,         145,      -6.072856773,      -2.573733884,      -2.908529792,      0.9883988666
          0,           0,         146,      -6.031377318,      -2.564604682,      -2.890549992,       1.035953273
          0,           0,         147,       -6.05133059,      -2.578894797,      -2.904701592,       1.013948673
          0,           0,         148,      -6.043479036,      -2.580166353,      -2.901291125,       1.024151241
          0,           0,         149,      -6.009263597,      -2.568963087,      -2.880816281,       1.063893123
          0,           0,         150,      -6.035383715,      -2.582041679,      -2.895851172,        1.03610572
          0,           0,         151,      -6.034761561,      -2.581156919,      -2.892046115,       1.038866046
          0,           0,         152,      -6.038547423,      -2.580426475,      -2.889899518,        1.03678818
          0,           0,         153,       -6.04601417,      -2.579621156,      -2.889240955,       1.030699272
          0,           0,         154,      -6.056640196,      -2.578602548,       -2.88993074,       1.021197667
          0,           0,         155,      -6.070019335,      -2.577322221,       -2.89181152,        1.00874581
          0,           0,         156,      -6.085817873,      -2.575807954,      -2.894674284,      0.9937144651
          0,           0,         157,      -6.103762141,       -2.57414196,      -2.898243242,      0.9763960201
          0,           0,         158,      -6.123626556,      -2.572435789,      -2.902189727,      0.9570132256
          0,           0,         159,      -6.145240511,      -2.570810534,      -2.906149202,      0.9357146739
          0,           0,         160,      -6.168468247,      -2.569381341,      -2.909765638,      0.9125918616
          0,           0,         161,      -6.193168189,      -2.568247505,      -2.912736341,      0.8877176567
          0,           0,         162,       -6.21914037,      -2.567487249,       -2.91486385,      0.8612005227
          0,           0,         163,      -6.246052832,      -2.567156446,        -2.9160925,      0.8332658722
          0,           0,         164,      -6.298136854,      -2.587950053,      -2.936356198,      0.7763954123
          0,           0,         165,      -6.329196996,      -2.594085685,      -2.941369952,      0.7419504814
          0,           0,         166,      -6.337540062,      -2.584599143,      -2.929926437,       0.732388074
          0,           0,         167,      -6.378255186,      -2.600453047,      -2.944836355,      0.6859980338
          0,           0,         168,      -6.395460734,      -2.601467833,      -2.943968635,      0.6654960408
          0,           0,         169,      -6.382621054,       -2.58630481,      -2.925572229,      0.6783208351
          0,           0,         170,      -6.414500507,      -2.600561426,      -2.940720804,      0.6422511327
          0,           0,         171,      -6.414199756,      -2.598982864,      -2.938596184,      0.6420298121
          0,           0,         172,      -6.446030712,      -2.618906652,       -2.95984389,      0.6047336579
          0,           0,         173,      -6.449686709,      -2.624413753,      -2.965814972,      0.5998479586
          0,           0,         174,      -6.418567685,      -2.614659584,      -2.956720932,      0.6359014183
          0,           0,         175,      -6.437768526,      -2.630113145,      -2.974933337,      0.6131554182
          0,           0,         176,      -6.425663065,      -2.630903147,      -2.978416633,      0.6273465302
          0,           0,         177,      -6.376691293,      -2.615765806,      -2.967572616,      0.6838472189
          0,           0,         178,      -6.394707725,      -2.629318218,      -2.985766113,      0.6637296806
          0,           0,         179,      -6.378739482,      -2.627251376,      -2.989197313,      0.6826271344
          0,           0,         180,       -6.40570771,      -2.646150596,       -3.01051488,      0.6508629143
          0,           0,         181,      -6.405240403,      -2.650925844,      -3.018785787,      0.6515590585
          0,           0,         182,      -6.374460338,      -2.640615634,      -3.015004782,      0.6878323696
          0,           0,         183,      -6.396886465,      -2.654947314,      -3.030577367,      0.6618279141
          0,           0,         184,      -6.391521219,      -2.654903964,      -3.034176236,      0.6684626651
          0,           0,         185,       -6.35580933,      -2.639165391,      -3.025889017,      0.7094102126
          0,           0,         186,      -6.380549251,      -2.651611315,      -3.038520242,      0.6820363365
          0,           0,         187,      -6.376181865,      -2.648798479,      -3.038738484,      0.6875947219
          0,           0,         188,       -6.34192399,      -2.629399701,      -3.025761591,      0.7256917718
          0,           0,         189,      -6.371245118,      -2.641511869,      -3.036755015,      0.6945213349
          0,           0,         190,      -6.370529753,      -2.637301355,      -3.033748659,      0.6959428219
          0,           0,         191,      -6.407414208,      -2.656376007,      -3.047651056,      0.6548427222
          0,           0,         192,      -6.418922909,      -2.660472173,       -3.04896803,      0.6417394862
          0,           0,         193,      -6.404422812,      -2.648756367,      -3.037498043,      0.6574411684
          0,           0,         194,      -6.434019073,      -2.663888531,      -3.047306008,       0.623912667
          0,           0,         195,      -6.438724835,      -2.663734623,      -3.044439559,      0.6179046476
          0,           0,         196,      -6.417710083,      -2.647297675,      -3.028241724,      0.6400456797
          0,           0,         197,      -6.446237809,      -2.661096691,      -3.037946716,      0.6087692416
          0,           0,         198,      -6.448517434,      -2.658724147,       -3.03385431,      0.6060566463
          0,           0,         199,       -6.48131126,      -2.678519674,      -3.048080777,      0.5689594721
          0,           0,         200,      -6.491068718,      -2.683534047,      -3.050086265,       0.557091642
          0,           0,         201,       -6.47476754,      -2.673098531,       -3.04027477,      0.5744902471
          0,           0,         202,      -6.497062588,      -2.688586642,      -3.052197082,      0.5485060073
          0,           0,         203,      -6.494438348,      -2.689026948,       -3.05228577,      0.5506746989
          0,           0,         204,      -6.462310157,      -2.673386791,      -3.040542136,      0.5868762278
          0,           0,         205,      -6.480072628,      -2.687282306,      -3.053101507,      0.5672306993
          0,           0,         206,      -6.469450545,       -2.68503356,      -3.053099485,       0.580163531
          0,           0,         207,      -6.492521737,      -2.704528791,      -3.069459803,      0.5531554063
          0,           0,         208,      -6.491895821,      -2.709255687,      -3.074590419,      0.5538312544
          0,           0,         209,      -6.462808131,      -2.698287522,      -3.068716507,       0.588487651
          0,           0,         210,      -6.478669957,      -2.713258545,      -3.081958713,      0.5695432117
          0,           0,         211,      -6.468942886,      -2.712892487,      -3.083955781,      0.5813119395
          0,           0,         212,      -6.428416568,      -2.695790364,      -3.073704488,      0.6293687703
          0,           0,         213,      -6.443687105,       -2.70890147,       -3.08584467,      0.6118907392
          0,           0,         214,      -6.430509373,      -2.705243546,      -3.084947807,      0.6279026836
          0,           0,         215,      -6.383728066,      -2.683232462,      -3.068798971,      0.6813557184
          0,           0,         216,       -6.40085715,      -2.695739639,      -3.080290288,      0.6621260149
          0,           0,         217,      -6.386009877,      -2.689673503,      -3.075738677,      0.6786276219
          0,           0,         218,      -6.412897662,      -2.709410597,      -3.091294244,       0.646787912
          0,           0,         219,      -6.412724488,      -2.711995092,      -3.092538871,      0.6456712561
          0,           0,         220,      -6.380995985,      -2.696130595,      -3.078160525,      0.6795227358
          0,           0,         221,      -6.400923521,      -2.711039149,      -3.089956948,      0.6548876393
          0,           0,         222,      -6.391600695,      -2.708134942,      -3.086545604,      0.6627929402
          0,           0,         223,       -6.34895585,      -2.686070328,       -3.06592606,      0.7064378663
          0,           0,         224,       -6.36549814,      -2.699069729,      -3.077714518,      0.6855242343
          0,           0,         225,      -6.350283381,      -2.693298025,      -3.072446664,       0.698843289
          0,           0,         226,      -6.300462842,      -2.667738427,      -3.048630579,      0.7482039583
          0,           0,         227,      -6.314090031,      -2.680350359,      -3.062420444,      0.7308221543
          0,           0,         228,      -6.346367855,       -2.70986769,      -3.088742502,      0.6914309191
          0,           0,         229,      -6.379944015,      -2.742791961,      -3.114949327,      0.6481638685
          0,           0,         230,      -6.399961166,      -2.764882978,      -3.131226226,      0.6196705006
