"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,          77,      -6.067976063,      -2.620464049,      -2.704821541,      0.9438958757
          0,           0,          78,      -6.064788446,      -2.624074212,      -2.704428777,      0.9463485026
          0,           0,          79,      -6.064518651,      -2.626716416,       -2.70491365,      0.9461817462
          0,           0,          80,      -6.068413641,      -2.629418597,      -2.706347759,      0.9420005183
          0,           0,          81,      -6.072297119,        -2.6322036,       -2.70795724,      0.9377819559
          0,           0,          82,      -6.077643881,      -2.634857196,      -2.709301388,      0.9323678443
          0,           0,          83,      -6.082941637,      -2.637471869,      -2.711074411,      0.9271160691
          0,           0,          84,       -6.09019914,      -2.640518555,      -2.712749217,      0.9199147993
          0,           0,          85,      -6.096233252,      -2.643427273,      -2.714291665,      0.9138960019
          0,           0,          86,      -6.103449371,      -2.646554422,      -2.715925173,      0.9066864088
          0,           0,          87,      -6.111215299,      -2.650889153,      -2.717030214,      0.8987334466
          0,           0,          88,       -6.12008926,      -2.655086584,      -2.718023811,      0.8894561049
          0,           0,          89,      -6.136094593,      -2.658981318,      -2.719607803,       0.873009848
          0,           0,          90,      -6.151445989,      -2.662911093,      -2.721055893,      0.8572935637
          0,           0,          91,      -6.166290502,      -2.666484126,      -2.722396596,       0.842226104
          0,           0,          92,      -6.185481233,      -2.669776517,      -2.723664661,      0.8231956853
          0,           0,          93,      -6.204594577,      -2.673803432,      -2.724630016,      0.8045297174
          0,           0,          94,      -6.217206982,      -2.676765477,      -2.725029705,      0.7927365974
          0,           0,          95,      -6.231153057,      -2.679906737,      -2.725343969,      0.7799134438
          0,           0,          96,      -6.246984753,      -2.683650793,      -2.725656979,      0.7653998499
          0,           0,          97,      -6.254540789,      -2.687461303,      -2.725099203,      0.7588578332
          0,           0,          98,      -6.256732952,      -2.691531962,      -2.723430392,       0.757313835
          0,           0,          99,      -6.253491901,      -2.696206553,       -2.72121868,      0.7610204928
          0,           0,         100,      -6.246726292,      -2.701535591,      -2.718952802,      0.7678448011
          0,           0,         101,      -6.242109889,      -2.707642255,      -2.717573242,      0.7723752692
          0,           0,         102,      -6.230954193,      -2.714378508,      -2.714940699,      0.7832067442
          0,           0,         103,      -6.215038997,      -2.721686076,      -2.712235249,      0.7989113563
          0,           0,         104,      -6.199100534,      -2.727833992,      -2.709883736,      0.8151220829
          0,           0,         105,      -6.186253113,       -2.73394345,      -2.708316442,      0.8285804194
          0,           0,         106,      -6.173198624,       -2.73861455,      -2.707484684,      0.8423504847
          0,           0,         107,      -6.161716776,       -2.74350889,      -2.706929508,      0.8546370428
          0,           0,         108,      -6.154197099,      -2.747864847,      -2.706845951,      0.8626840453
          0,           0,         109,       -6.14732211,      -2.751002026,      -2.706230904,      0.8702691812
          0,           0,         110,      -6.139110595,      -2.753061498,      -2.706067181,      0.8790622275
          0,           0,         111,      -6.135631057,      -2.753484274,      -2.706651808,      0.8832745426
